P_NAME,P_DETECTION,P_MASS,P_RADIUS,P_FLUX,P_TEMP_SURF,P_PERIOD,P_DISTANCE,P_DENSITY,P_GRAVITY,P_ESI
GJ 1214 b,Transit,8.17,2.742,20.772608,390.91311,1.5804043,0.014929569,0.39629601,1.0866437,0.27839216
Kepler-964 b,Transit,5.14,2.12,43.745509,,13.522511,0.1063,0.53945539,1.1436454,0.2783817
Kepler-251 d,Transit,8.1,2.77,20.31689,,30.133001,0.182,0.38110593,1.0556634,0.27834064
Kepler-1356 b,Transit,2.96,1.53,1765.7214,,0.63400294,0.0136,0.82645159,1.2644709,0.27832777
Kepler-1943 b,Transit,3.02,1.549,854.53092,,4.8501801,0.0571,0.81255486,1.2586475,0.27829442
Kepler-319 b,Transit,3.29,1.63,253.43095,1094.2852,4.362705,0.051,0.75968418,1.2382852,0.27829314
K2-374 b,Transit,3.16,1.593,376.12383,,4.521953,0.048176425,0.78169936,1.2452471,0.27829306
Kepler-1433 b,Transit,3.05,1.56,663.28564,,4.1359227,0.0516,0.8033893,1.2532873,0.27825244
Kepler-1323 b,Transit,2.92,1.52,5406.7124,1479.9195,0.92990668,0.0191,0.83148054,1.2638504,0.27825198
Kepler-1713 b,Transit,3.59,1.717,141.89151,,18.0116,0.1469,0.70922423,1.217738,0.2782512
75 Cet c,Radial Velocity,289.85951,13.9,3.3539057,,2051.62,3.9300392,0.10793024,1.5002304,0.27824696
TOI-1899 b,Transit,209.7678,12.89,3.5066381,,29.02,0.15980487,0.097944504,1.2625047,0.27815324
Kepler-903 c,Transit,6.94,2.53,25.408915,,62.922856,0.302,0.42854646,1.0842225,0.27815136
TOI-1634 b,Transit,7.57,1.773,110.69883,1015.8168,0.9893455,0.01545,1.3582186,2.4081216,0.27812161
Kepler-337 b,Transit,2.99,1.54,1494.7721,713.16554,3.292781,0.045,0.81867028,1.2607522,0.27801467
Kepler-1346 b,Transit,3.12,1.58,507.10121,,3.4016567,0.044,0.79101248,1.2497997,0.27796093
Kepler-377 c,Transit,4.9,2.06,49.87205,643.75206,27.014976,0.182,0.56052427,1.15468,0.27788037
Kepler-1131 b,Transit,3.15,1.59,445.01498,,3.5323245,0.0459,0.78364466,1.245995,0.27786973
HD 134606 f,Radial Velocity,5.63,2.24,36.613369,,26.915,0.17898524,0.50091535,1.1220504,0.27786646
Kepler-1228 b,Transit,2.99,1.54,1783.1175,1301.9293,0.57736958,0.0125,0.81867028,1.2607522,0.27786521
Kepler-322 c,Transit,3.43,1.67,198.08868,,4.337234,0.051,0.73645244,1.2298756,0.27785792
Kepler-990 c,Transit,2.96,1.53,5525.7669,816.55326,0.53835431,0.0127,0.82645159,1.2644709,0.27779477
Kepler-1592 b,Transit,2.99,1.54,2008.5378,638.1487,3.0571007,0.04,0.81867028,1.2607522,0.27777824
Kepler-58 e,Transit,3.22,1.61,348.77519,,4.458149,0.0533,0.77157517,1.242236,0.27777423
K2-392 b,Transit,4.08,1.85,85.535885,,15.398723,0.11426832,0.64438434,1.192111,0.27776009
Kepler-323 c,Transit,6.8,1.57,678.01249,648.48447,3.5538229,0.046006672,1.7571545,2.7587326,0.27774365
Kepler-778 b,Transit,3.46,1.68,188.27974,835.87563,3.7557443,0.0453,0.72970657,1.225907,0.27772635
K2-58 c,Transit,3.26,1.62,316.12869,,2.53726,0.035,0.76678314,1.2421887,0.2777031
Kepler-1371 c,Transit,0.196,0.64,844.30405,1263.5717,2.0054127,0.0274,0.74768066,0.47851562,0.2776915
Kepler-1509 b,Transit,4.08,1.85,86.006833,932.5048,25.43382,0.1707,0.64438434,1.192111,0.27767549
K2-154 b,Transit,4.62,1.99,58.491122,,3.67626,0.0405,0.58624985,1.1666372,0.27766944
Kepler-1123 b,Transit,3.43,1.67,205.25192,,4.3394645,0.0497,0.73645244,1.2298756,0.27761877
Kepler-1207 b,Transit,3.26,1.62,325.15043,,13.682371,0.1156,0.76678314,1.2421887,0.2775831
HD 108236 b,Transit,3.24,1.615,345.79537,513.04363,3.795963,0.045315836,0.76917902,1.2422241,0.27757026
Kepler-1181 b,Transit,3.09,1.57,768.80606,,4.8933752,0.0621,0.79847169,1.2536006,0.27750386
Kepler-221 e,Transit,7.41,2.63,23.340669,930.4006,18.369917,0.13,0.40733428,1.0712892,0.27748684
K2-137 b,Transit,158.915,0.64,975.313,913.45752,0.179719,0.0058,606.21262,387.97607,0.27747224
Kepler-1555 b,Transit,3.22,1.61,377.92728,873.87761,8.1050163,0.0805,0.77157517,1.242236,0.27747142
Kepler-1233 b,Transit,7.27,2.6,24.048528,,45.126304,0.263,0.41363223,1.0754438,0.27742958
HD 207897 b,Transit,14.4,2.501,26.626911,,16.202159,0.11642845,0.92049496,2.3021579,0.27741168
Kepler-1513 c,Transit Timing Variations,84.54236,11,0.25663268,830.79558,841.4,1.7216054,0.063517926,0.69869719,0.27737226
K2-285 d,Transit,6.5,2.48,27.271525,,10.45582,0.1178,0.4261459,1.0568418,0.27736984
Kepler-823 b,Transit,3.09,1.57,841.3643,,4.1680908,0.0507,0.79847169,1.2536006,0.27734939
Kepler-172 e,Transit,8.05,2.76,20.865802,,35.118736,0.211,0.38288525,1.0567633,0.27731895
Kepler-1419 b,Transit,8.55,2.86,19.268187,628.64624,42.521589,0.2391,0.3654837,1.0452834,0.27730449
K2-401 b,Transit,5.74,2.262,36.070201,,6.293099,0.063668661,0.49594566,1.1218291,0.27726807
Kepler-356 b,Transit,3.09,1.57,889.71372,,4.612696,0.057,0.79847169,1.2536006,0.27726043
Kepler-139 d,Transit,4.65808,1.695,181.75927,,7.3056999,0.075553,0.95652833,1.6213155,0.27724912
Kepler-913 b,Transit,4.9,2.06,51.311849,,10.296725,0.1009,0.56052427,1.15468,0.27716055
Kepler-111 b,Transit,3.12,1.58,740.43056,1089.2567,3.341815,0.046,0.79101248,1.2497997,0.27710648
Kepler-730 c,Transit,3.09,1.569,1077.7839,,2.8518834,0.03997,0.79999938,1.255199,0.27703666
K2-269 b,Transit,3.09,1.57,1041.8638,752.78083,4.144965,0.0531,0.79847169,1.2536006,0.2770343
Kepler-1281 b,Transit,3.33,1.64,296.41748,,3.1160279,0.0415,0.75494044,1.2381023,0.27703195
Kepler-902 b,Transit,6.99,2.54,25.786374,,40.109955,0.223,0.42655597,1.0834522,0.2769873
K2-291 b,Transit,6.49,1.589,641.6503,,2.225177,0.03261,1.617607,2.5703774,0.27697092
Kepler-1340 b,Transit,3.02,1.55,5219.3586,,0.66502692,0.0153,0.81098318,1.2570239,0.2768975
Kepler-113 b,Transit,11.7,1.82,101.2889,908.70112,4.754,0.051194,1.9407594,3.5321821,0.27687123
Kepler-1133 b,Transit,4.54,1.97,63.81062,,11.555623,0.0983,0.59382322,1.1698317,0.2768468
Kepler-1174 b,Transit,3.15,1.59,669.85043,1063.0452,6.8922522,0.0732,0.78364466,1.245995,0.27683378
Kepler-1317 b,Transit,3.05,1.56,2352.7732,,0.56887443,0.0128,0.8033893,1.2532873,0.27675977
Kepler-1059 b,Transit,3.64,1.73,155.98924,,3.764191,0.044,0.70301254,1.2162117,0.2767486
Kepler-658 b,Transit,3.29,1.63,357.01322,,1.2870768,0.0188,0.75968418,1.2382852,0.27672979
Kepler-477 b,Transit,4.94,2.07,51.163853,295.67425,11.119907,0.0911,0.55694962,1.1528857,0.27672114
TOI-269 b,Transit,8.8,2.77,20.922831,,3.6977104,0.037615781,0.41404102,1.1468936,0.27671201
K2-170 c,Transit,3.9,1.802,110.38301,819.23197,12.400047,0.10340675,0.66650014,1.2010333,0.27669698
Kepler-1743 b,Transit,3.18,1.599,587.83625,,7.6497102,0.0822,0.7778247,1.2437417,0.27669634
Kepler-842 b,Transit,3.19,1.6,587.13729,733.44051,1.2195683,0.0204,0.77880859,1.2460937,0.27665194
Kepler-107 c,Transit,10,1.597,630.77696,625.98158,4.901452,0.060834048,2.4551908,3.9209397,0.27663158
Kepler-1859 b,Transit,3.13,1.583,918.34857,672.75609,2.7295999,0.0394,0.78904467,1.2490577,0.27660618
Kepler-1980 b,Transit,5.52,2.21,39.894781,,33.025718,0.2049,0.51140181,1.130198,0.27658144
Kepler-1511 b,Transit,3.46,1.68,224.09706,1445.6992,23.238279,0.1753,0.72970657,1.225907,0.27657468
Kepler-300 b,Transit,3.43,1.67,247.59638,,10.446347,0.094,0.73645244,1.2298756,0.27648656
Kepler-1065 c,Transit,3.19,1.6,646.96847,837.63072,2.3703074,0.0344,0.77880859,1.2460937,0.27643563
Kepler-1479 b,Transit,4.01,1.83,101.4855,946.69814,14.532614,0.1173,0.65432137,1.1974081,0.27633997
Kepler-1449 b,Transit,3.46,1.68,233.44542,,13.227453,0.1176,0.72970657,1.225907,0.27633198
Kepler-1530 b,Transit,3.33,1.64,355.01948,809.28077,2.5904434,0.0371,0.75494044,1.2381023,0.27627156
Kepler-1838 b,Transit,3.4,1.66,286.66779,,12.1468,0.1096,0.74328378,1.2338511,0.27622274
Kepler-1877 b,Transit,0.179,0.624,679.80721,,2.3775699,0.0351,0.73671458,0.45970989,0.27621204
Kepler-1272 b,Transit,6.21,2.37,32.038005,,51.13097,0.2705,0.46649454,1.1055921,0.27617091
Kepler-1510 b,Transit,11.2,3.36,14.24839,,84.703921,0.4089,0.29525699,0.99206349,0.2761667
TOI-836 c,Transit,9.6,2.587,25.015122,2148.8063,8.59545,0.07522815,0.55447497,1.4344268,0.27615654
Kepler-311 b,Transit,3.53,1.7,206.04472,,9.176092,0.087,0.71850193,1.2214533,0.27612531
Kepler-207 b,Transit,3.09,1.57,4066.343,,1.611865,0.029,0.79847169,1.2536006,0.27604989
Kepler-288 b,Transit,3.43,1.67,269.2609,1575.3093,6.097326,0.065,0.73645244,1.2298756,0.27604446
K2-208 b,Transit,3.46,1.679,247.88057,,4.190948,0.04964537,0.73101117,1.2273677,0.27604182
Kepler-341 c,Transit,3.53,1.7,209.32448,,8.01041,0.08,0.71850193,1.2214533,0.27602227
Kepler-1330 b,Transit,3.36,1.65,337.43993,,10.107691,0.0889,0.74797562,1.2341598,0.27599043
Kepler-416 d,Transit,3.22,1.61,643.88926,,3.0764471,0.0407,0.77157517,1.242236,0.27597294
Kepler-343 c,Transit,4.74,2.02,58.961301,755.77558,23.22182,0.167,0.57507466,1.1616508,0.27595692
Kepler-405 b,Transit,4.98,2.08,51.707411,,10.613839,0.095,0.55340023,1.1510725,0.27594747
Kepler-1208 b,Transit,5.99,2.32,34.478663,,11.085076,0.0901,0.47969243,1.1128864,0.27594474
Kepler-256 b,Transit,3.15,1.59,1197.4916,1693.425,1.620493,0.027,0.78364466,1.245995,0.27592897
Kepler-1014 b,Transit,6.3,2.39,31.436143,,16.571104,0.121,0.46147358,1.1029219,0.27591201
GJ 876 b,Radial Velocity,723.2235,13.3,0.28561344,,61.1166,0.20842634,0.30740973,4.0885494,0.27590812
Kepler-1645 b,Transit,3.82,1.78,131.27854,,16.177956,0.1285,0.67733475,1.2056559,0.27587571
Kepler-1523 b,Transit,3.12,1.58,2326.2508,,0.93875077,0.0185,0.79101248,1.2497997,0.2758385
K2-396 b,Transit,3.12,1.579,2694.0385,,0.673862,0.014784209,0.7925163,1.2513832,0.27580421
Kepler-179 b,Transit,3.33,1.64,406.81316,,2.735926,0.036,0.75494044,1.2381023,0.27578142
K2-62 b,Transit,5.22,2.14,46.353845,,6.67202,0.0636,0.53263436,1.1398375,0.27573349
K2-86 b,Transit,4.5,1.96,69.345542,,8.77683,0.077,0.59764639,1.1713869,0.27573058
Kepler-1113 b,Transit,8.3,2.81,20.614164,1133.0422,42.300495,0.2415,0.37407539,1.0511518,0.2757122
Kepler-1073 c,Transit,3.33,1.64,418.89554,,4.0258225,0.0483,0.75494044,1.2381023,0.27568447
Kepler-1072 b,Transit,3.12,1.58,3202.5465,,1.5690665,0.0269,0.79101248,1.2497997,0.27567633
TOI-500 c,Radial Velocity,5.03,2.09,51.220997,1505.266,6.6356,0.062656269,0.55097149,1.1515304,0.27567191
HD 40307 b,Radial Velocity,4,1.83,106.99727,,4.3123,0.047736,0.65268964,1.194422,0.27566522
TOI-1685 b,Transit,3.09,1.7,226.62602,,0.6691406,0.011557,0.62894362,1.0692042,0.27552783
Kepler-360 b,Transit,3.36,1.65,381.14888,,3.289672,0.044,0.74797562,1.2341598,0.2755264
Kepler-1262 b,Transit,3.97,1.82,113.98398,625.17455,8.6790024,0.083,0.65853118,1.1985267,0.27540765
Kepler-140 b,Transit,3.22,1.61,880.18705,,3.25427,0.045,0.77157517,1.242236,0.2754004
Kepler-261 b,Transit,5.39,2.18,43.655067,,10.381227,0.088,0.52025862,1.1341638,0.27538881
Kepler-113 c,Transit,8.7,2.18,43.734558,825.95657,8.92507,0.077909,0.83974953,1.830654,0.27533636
GJ 3090 b,Transit,3.34,2.13,47.941448,1580.3627,2.8531054,0.03327048,0.345627,0.7361855,0.27533568
Kepler-156 c,Transit,7.04,2.55,26.523344,,15.906801,0.117,0.42457275,1.0826605,0.27522905
Kepler-396 b,Transit,75.5,3.5,13.429329,486.91335,42.994,0.2336,1.7609329,6.1632653,0.27521018
Kepler-1685 b,Transit,7.16,2.577,25.795687,1200.0742,20.4905,0.1485,0.41837889,1.0781624,0.27520296
Kepler-750 c,Transit,3.26,1.62,777.22289,873.75584,4.0889902,0.0533,0.76678314,1.2421887,0.27513252
Kepler-900 b,Transit,4.98,2.08,53.488504,,6.9913086,0.0679,0.55340023,1.1510725,0.27512339
Kepler-1862 b,Transit,5.49,2.203,42.399588,,16.057301,0.1199,0.51348629,1.1312103,0.27507888
Kepler-600 b,Transit,8.75,2.9,19.418584,,23.675176,0.1536,0.3587683,1.0404281,0.27507309
TOI-444 b,Transit,8.1,2.77,21.592191,,17.9636,0.133,0.38110593,1.0556634,0.27501344
EPIC 206024342 b,Transit,3.53,1.7,248.92595,,4.50756,0.052115261,0.71850193,1.2214533,0.27499151
Kepler-287 b,Transit,6.04,2.33,34.935261,,20.342199,0.145,0.47749538,1.1125642,0.27498065
HD 94771 b,Radial Velocity,169,14.2,0.29421797,,2164,3.744654,0.059023053,0.83812736,0.27489826
Kepler-572 b,Transit,7.18,2.58,25.908811,1380.3327,17.205235,0.1192,0.41808571,1.0786611,0.27486012
K2-38 b,Transit,7.7,1.655,433.01958,1099.5945,4.01593,0.050604315,1.6986219,2.8112193,0.27485586
Kepler-208 b,Transit,3.29,1.63,698.5741,1203.5608,4.22864,0.054,0.75968418,1.2382852,0.27485465
Kepler-213 b,Transit,3.26,1.62,931.95512,1229.3924,2.46236,0.036,0.76678314,1.2421887,0.27483927
EPIC 220554210 c,Transit,3.19,1.6,2642.7466,,0.70531,0.015187008,0.77880859,1.2460937,0.27483038
TOI-1416 b,Transit,3.48,1.62,960.48989,1317.0046,1.0697568,0.019,0.81852924,1.3260174,0.27479549
HD 159868 c,Radial Velocity,244.09344,14,3.4286225,,351,1.0494697,0.088955335,1.2453747,0.27479479
Kepler-1206 b,Transit,3.33,1.64,593.75583,936.4274,1.2169977,0.0201,0.75494044,1.2381023,0.27472235
Kepler-1034 b,Transit,5.73,2.26,39.079174,747.87965,12.124009,0.0965,0.49639718,1.1218576,0.27471652
Kepler-1042 b,Transit,5.43,2.19,43.94975,,10.132026,0.0756,0.51697255,1.1321699,0.27468943
Kepler-1900 b,Transit,3.27,1.623,940.8089,,2.9862299,0.042,0.76487804,1.2413971,0.2746827
K2-331 b,Transit,3.86,1.79,141.56142,,9.398977,0.089955463,0.67302037,1.2047065,0.27463287
Kepler-414 b,Transit Timing Variations,3.5,1.71,243.99379,2033.681,4.7,0.0527,0.69997046,1.1969495,0.27461052
Kepler-864 c,Transit,3.26,1.62,1106.3009,968.0753,2.4215034,0.0382,0.76678314,1.2421887,0.27460704
K2-347 b,Transit,6.39,2.41,31.71032,,7.187257,0.063445334,0.45650941,1.1001877,0.27459439
Kepler-1138 b,Transit,3.53,1.7,269.7142,858.38112,3.1706001,0.0415,0.71850193,1.2214533,0.2745711
Kepler-949 c,Transit,9.11,2.97,18.598352,,20.99758,0.1394,0.3477355,1.0327744,0.27455145
Kepler-401 b,Transit,3.57,1.71,247.33202,,14.383035,0.122,0.71396987,1.2208885,0.2745355
Kepler-1774 b,Transit,10.2,3.182,16.15839,1130.2454,59.770802,0.3096,0.31659179,1.0073951,0.27450094
Kepler-1144 b,Transit,4.62,1.99,68.25705,1603.9215,17.146473,0.1291,0.58624985,1.1666372,0.27449752
Kepler-1260 b,Transit,3.78,1.77,161.01473,2211.1157,19.118775,0.1444,0.68166658,1.2065498,0.27448804
Kepler-1176 b,Transit,6.57,2.45,30.251869,,24.173858,0.1589,0.44675263,1.0945439,0.27448408
Kepler-218 c,Transit,10,3.14,16.599562,947.37937,44.699576,0.248,0.32300635,1.0142399,0.27445553
Kepler-1322 b,Transit,3.22,1.61,2366.4527,677.36964,0.96286738,0.0183,0.77157517,1.242236,0.27441937
Kepler-1279 b,Transit,3.71,1.75,184.93863,,23.47741,0.1633,0.6922449,1.2114286,0.27440254
Kepler-939 b,Transit,3.71,1.75,185.07228,1778.6652,14.878296,0.1153,0.6922449,1.2114286,0.27439727
rho CrB e,Radial Velocity,3.79,1.77,162.94623,572.5524,12.949,0.10694222,0.68346993,1.2097418,0.27438905
Kepler-579 b,Transit,4.66,2,67.001459,,9.6685772,0.0854,0.5825,1.165,0.27434381
Kepler-1863 b,Transit,5.74,2.263,39.374785,958.66371,44.997601,0.2555,0.49528848,1.1208378,0.27432687
HD 72490 b,Radial Velocity,561.92344,13.5,3.5160018,,858,1.8944534,0.22838935,3.0832562,0.27420487
Kepler-1305 b,Transit,4.19,1.88,98.659045,,13.563097,0.1109,0.63058041,1.1854912,0.27417976
Kepler-1428 b,Transit,3.33,1.64,783.80509,1762.7091,10.676072,0.1059,0.75494044,1.2381023,0.27416284
Kepler-1067 c,Transit,3.7,1.747,197.35633,,5.4258399,0.0601,0.69394174,1.2123162,0.27409248
Kepler-879 b,Transit,7.13,2.57,26.652874,1829.3183,33.385594,0.2012,0.42003953,1.0795016,0.27405809
Kepler-300 c,Transit,5.69,2.25,40.646582,,40.714955,0.232,0.49953361,1.1239506,0.2739873
Kepler-887 b,Transit,4.04,1.84,118.36344,1881.3803,20.422288,0.1536,0.64852675,1.1932892,0.27396548
HD 80653 b,Transit,5.72,1.613,6298.8423,,0.719573,0.01661,1.3629908,2.1985042,0.27391442
Kepler-1342 b,Transit,3.39,1.66,559.64332,1583.7164,2.2157104,0.0313,0.74109765,1.2302221,0.27390024
Kepler-269 c,Transit,3.5,1.69,355.65585,,8.127899,0.081,0.72511674,1.2254473,0.27384188
Kepler-221 b,Transit,3.57,1.71,288.13536,1620.1488,2.795906,0.037,0.71396987,1.2208885,0.27375844
Kepler-1998 b,Transit,0.156,0.6,523.7089,,3.0326714,0.0405,0.72222222,0.43333333,0.27374549
K2-110 b,Transit,15.9,2.592,26.236441,,13.86375,0.10293249,0.9130449,2.3666124,0.27372093
HD 39194 b,Radial Velocity,4,1.83,127.09654,,5.6368,0.057199772,0.65268964,1.194422,0.27369631
Kepler-363 c,Transit,66.4,1.69,371.31784,,7.542427,0.079,13.7565,23.248486,0.27368037
Kepler-1873 b,Transit,3.28,1.626,2374.5431,,0.558842,0.0128,0.76297836,1.2406028,0.27365833
Kepler-263 b,Transit,7.61,2.67,24.301748,,16.568087,0.12,0.39980744,1.0674859,0.27363282
Kepler-1859 c,Transit,3.39,1.66,637.20286,,3.5964508,0.0473,0.74109765,1.2302221,0.27360277
HD 4208 b,Radial Velocity,257.4423,13.9,0.28782025,608.79783,832.97,1.6634659,0.095859577,1.3324481,0.27357629
TOI-2260 b,Transit,3.26,1.62,6721.3503,996.31092,0.3524728,0.0097,0.76678314,1.2421887,0.27356897
Kepler-24 d,Transit,3.43,1.67,533.16256,1352.1592,4.244384,0.051,0.73645244,1.2298756,0.2735378
Kepler-1892 b,Transit,4.03,1.837,124.79368,,6.3312302,0.0633,0.65009612,1.1942266,0.27353688
Kepler-118 b,Transit,4.5,1.96,78.768809,,7.518496,0.073,0.59764639,1.1713869,0.27347748
Kepler-284 b,Transit,5.65,2.24,42.163176,,12.699149,0.104,0.5026948,1.1260364,0.27338216
Kepler-1488 c,Transit,3.37,1.652,892.37668,,6.1582699,0.0658,0.74748034,1.2348375,0.27337393
TOI-2076 d,Transit,10.5,3.232,15.941264,360.87712,35.12537,0.1539,0.31101064,1.0051864,0.27336785
Kepler-9 d,Transit,8.41466,1.64,1461.0824,1156.1724,1.592851,0.0273,1.9076778,3.1285916,0.27335169
Kepler-978 b,Transit,9.22,2.99,18.704594,,49.622151,0.2726,0.34491919,1.0313084,0.27334598
Kepler-945 b,Transit,7.41,2.63,25.469355,,31.003381,0.2037,0.40733428,1.0712892,0.2732868
K2-32 c,Transit,8.1,3.134,16.984844,1055.5931,20.66093,0.13859619,0.26314071,0.82468299,0.27321712
K2-81 b,Transit,4.54,1.97,77.638854,904.61253,6.102325,0.0591062,0.59382322,1.1698317,0.27320964
Kepler-883 b,Transit,3.82,1.78,177.62131,,12.984956,0.1055,0.67733475,1.2056559,0.27320766
Kepler-1569 b,Transit,3.46,1.68,505.64359,1210.6546,5.7918016,0.0654,0.72970657,1.225907,0.27319189
Kepler-580 b,Transit,7.13,2.57,27.236957,,8.2224197,0.0683,0.42003953,1.0795016,0.27310205
DMPP-1 d,Radial Velocity,3.35,1.65,1176.0932,,2.882,0.04230339,0.74574951,1.2304867,0.27309959
Kepler-1370 b,Transit,4.04,1.84,128.44512,,20.264168,0.1495,0.64852675,1.1932892,0.27308178
Kepler-11 b,Transit,1.9,1.8,159.35195,,10.3039,0.091092138,0.32578875,0.58641975,0.27307392
Kepler-224 d,Transit,5.9,2.3,38.656274,1024.458,11.349393,0.089,0.48491822,1.1153119,0.27306638
Kepler-1115 b,Transit,3.53,1.7,394.1043,908.30903,23.554073,0.2134,0.71850193,1.2214533,0.2729797
Kepler-1886 b,Transit,7.18,2.582,26.962492,,24.275801,0.16,0.41711493,1.0769907,0.27297729
HD 3167 d,Radial Velocity,4.33,1.92,92.918155,,8.4112,0.07684936,0.61176441,1.1745877,0.27297478
Kepler-21 b,Transit,7.5,1.639,2754.359,1165.8736,2.7858212,0.0434,1.7034304,2.7919225,0.27295833
Kepler-804 b,Transit,4.42,1.94,86.791875,,14.374574,0.1137,0.60536468,1.1744075,0.27295717
Kepler-376 c,Transit,3.86,1.79,172.03005,,14.172327,0.115,0.67302037,1.2047065,0.27295377
GJ 876 d,Radial Velocity,6.83,2.51,29.247641,,1.93778,0.02125278,0.43191625,1.0841098,0.27295056
TOI-561 d,Transit,13.2,2.82,21.524949,457.66075,25.7124,0.15917584,0.5886086,1.6598763,0.27291757
Kepler-239 b,Transit,6.04,2.33,37.115284,756.99719,11.763051,0.095,0.47749538,1.1125642,0.27290701
K2-294 b,Transit,3.39,1.66,947.12722,577.7588,2.50387,0.035958026,0.74109765,1.2302221,0.27289985
Kepler-444 d,Transit,0.2,0.53,106.13279,1288.5904,6.189392,0.060972,1.3433909,0.71199715,0.27289029
Kepler-160 b,Transit,3.59,1.715,332.30676,1848.8557,4.309397,0.05511,0.71170837,1.2205799,0.27288613
HD 20781 c,Radial Velocity,5.33,2.17,48.786384,674.45635,13.8905,0.10080662,0.52161252,1.1318992,0.27284997
Kepler-417 b,Transit Timing Variations,11,2.31,38.353415,,12.331,0.1006,0.89239421,2.0614306,0.27282259
HD 156279 b,Radial Velocity,2997.7575,12.5,3.7184198,711.82027,133.40355,0.60707086,1.5348519,19.185648,0.27282173
Kepler-1087 b,Transit,0.165,0.61,3651.5443,795.60593,0.69384285,0.0148,0.72693309,0.44342919,0.27281934
TIC 279401253 c,Transit,2548.9838,12.6,3.7008958,764.70795,155.3,0.61006448,1.2742524,16.05558,0.27280836
Kepler-401 c,Transit,5.27,2.15,50.873948,638.8776,47.318218,0.269,0.53026778,1.1400757,0.27279322
HD 11964 b,Radial Velocity,198,14.1,0.28839728,915.00167,1945,3.162656,0.070633033,0.99592576,0.27278078
HD 97658 b,Radial Velocity,8.3,2.12,54.194072,340.15234,9.4897116,0.080600625,0.87110501,1.8467426,0.27277788
Kepler-509 b,Transit,6.76,2.49,30.087597,,41.746004,0.2384,0.43787349,1.090305,0.27276451
K2-195 c,Transit,7.16,2.576,27.312202,1130.6615,28.482786,0.18002037,0.41886632,1.0789997,0.27269719
K2-216 b,Transit,8,1.75,242.48447,998.24789,2.1748,0.028,1.4927114,2.6122449,0.27266945
Kepler-342 c,Transit,4.5,1.96,82.919475,,26.234138,0.185,0.59764639,1.1713869,0.27264538
Kepler-1313 b,Transit,3.75,1.76,223.60646,,3.8330912,0.046,0.68784924,1.2106147,0.27264358
Kepler-611 b,Transit,3.36,1.65,1960.5854,636.75895,2.4370333,0.0351,0.74797562,1.2341598,0.27263297
TOI-2411 b,Transit,3.46,1.68,649.04531,,0.7826942,0.0144,0.72970657,1.225907,0.27259516
Kepler-853 b,Transit,3.5,1.69,533.2429,,7.1689246,0.0779,0.72511674,1.2254473,0.27256552
K2-221 b,Transit,3.46,1.679,697.22061,,2.399094,0.035181544,0.73101117,1.2273677,0.27249824
TOI-1470 b,Transit,7.32,2.18,48.505343,327.39512,2.527093,0.0297825,0.70654788,1.5402744,0.27249568
Kepler-245 e,Transit,3.71,1.75,251.11926,,3.2198211,0.04,0.6922449,1.2114286,0.27247765
Kepler-1106 b,Transit,3.36,1.65,2524.6676,771.92924,1.2527522,0.0239,0.74797562,1.2341598,0.27247659
Kepler-152 b,Transit,8.2,2.79,22.29239,,18.207973,0.124,0.37757327,1.0534294,0.27243354
Kepler-308 c,Transit,5.31,2.16,50.604574,,15.38231,0.123,0.52690615,1.1381173,0.27242061
Kepler-770 b,Transit,5.9,2.3,39.461464,,18.925403,0.1694,0.48491822,1.1153119,0.27241083
Kepler-1585 b,Transit,3.86,1.79,185.90025,1581.989,3.5827463,0.0445,0.67302037,1.2047065,0.27237065
Kepler-1811 b,Transit,14.1,3.848,11.894491,,76.422302,0.3462,0.24746508,0.95224562,0.27234785
Kepler-1100 b,Transit,3.71,1.75,261.75067,,6.4220006,0.0684,0.6922449,1.2114286,0.2722588
Kepler-501 c,Transit,3.47,1.681,753.99113,,3.6227601,0.0467,0.73051028,1.2279878,0.27225354
K2-229 c,Transit,21.3,2.03,69.047399,,8.32727,0.0769,2.546194,5.1687738,0.27224107
K2-42 b,Transit,5.27,2.15,52.051071,,6.68796,0.0617,0.53026778,1.1400757,0.27222767
Kepler-1368 b,Transit,3.36,1.65,4804.1564,,0.67564949,0.0153,0.74797562,1.2341598,0.27221863
HD 93351 b,Radial Velocity,3.49611,1.69,624.81282,,2.45946,0.040274518,0.72431082,1.2240853,0.27219041
K2-389 c,Transit,4.82,2.04,67.412787,,20.851337,0.1376033,0.56774921,1.1582084,0.27218752
Kepler-1556 b,Transit,4.5,1.96,85.485201,1519.0145,8.8271346,0.0829,0.59764639,1.1713869,0.27217092
Kepler-1247 b,Transit,6.04,2.33,37.962124,,13.712202,0.1091,0.47749538,1.1125642,0.27216382
Kepler-918 b,Transit,3.68,1.74,296.3299,,4.8538693,0.0569,0.69855414,1.2154842,0.27214989
Kepler-1997 b,Transit,5.82,2.28,41.138338,,26.757587,0.1815,0.49104178,1.1195753,0.27212036
Kepler-846 b,Transit,6.71,2.48,31.000205,,19.807922,0.1399,0.43991369,1.090986,0.27206583
HD 175607 b,Radial Velocity,8.98,2.94,19.84823,,29.01,0.16579843,0.3533738,1.038919,0.27206327
Kepler-60 b,Transit,4.19,1.71,452.42044,,7.1334,0.0719,0.83796464,1.4329195,0.27204474
Kepler-276 c,Transit,16.6,2.9,20.490365,276.93926,31.884,0.1994,0.68063471,1.9738407,0.27203194
